2022-07-21 23:55:23 - eval: epoch: 094, tea_acc1: 73.728%, tea_acc5: 91.518%, tea_test_loss: 1.0637, stu_acc1: 72.134%, stu_acc5: 90.522%, stu_test_loss: 1.1261
2022-07-21 23:55:23 - until epoch: 094, tea_best_acc1: 73.728%, stu_best_acc1: 72.134%
2022-07-22 19:56:49 - epoch 095 lr: 0.000100
2022-07-22 19:57:29 - train: epoch 0095, iter [00100, 05004], lr: 0.000100, loss: 1.9173, stu_CELoss: 1.3958, DKDLoss: 0.5215, 
2022-07-22 20:05:07 - train: epoch 0095, iter [01500, 05004], lr: 0.000100, loss: 1.8291, stu_CELoss: 1.2993, DKDLoss: 0.5298, 
2022-07-22 20:05:39 - train: epoch 0095, iter [01600, 05004], lr: 0.000100, loss: 1.5170, stu_CELoss: 1.0153, DKDLoss: 0.5017, 
2022-07-22 20:06:12 - train: epoch 0095, iter [01700, 05004], lr: 0.000100, loss: 1.7725, stu_CELoss: 1.2078, DKDLoss: 0.5647, 
2022-07-22 20:06:45 - train: epoch 0095, iter [01800, 05004], lr: 0.000100, loss: 1.7200, stu_CELoss: 1.2295, DKDLoss: 0.4905, 
2022-07-22 20:07:18 - train: epoch 0095, iter [01900, 05004], lr: 0.000100, loss: 1.6122, stu_CELoss: 1.1149, DKDLoss: 0.4973, 
2022-07-22 20:07:50 - train: epoch 0095, iter [02000, 05004], lr: 0.000100, loss: 1.6553, stu_CELoss: 1.1463, DKDLoss: 0.5090, 
2022-07-22 20:08:23 - train: epoch 0095, iter [02100, 05004], lr: 0.000100, loss: 1.7498, stu_CELoss: 1.2304, DKDLoss: 0.5194, 
2022-07-22 20:08:56 - train: epoch 0095, iter [02200, 05004], lr: 0.000100, loss: 1.5410, stu_CELoss: 1.0109, DKDLoss: 0.5301, 
2022-07-22 20:09:30 - train: epoch 0095, iter [02300, 05004], lr: 0.000100, loss: 1.8262, stu_CELoss: 1.2881, DKDLoss: 0.5381, 
2022-07-22 20:10:03 - train: epoch 0095, iter [02400, 05004], lr: 0.000100, loss: 1.7346, stu_CELoss: 1.1636, DKDLoss: 0.5709, 
2022-07-22 20:10:36 - train: epoch 0095, iter [02500, 05004], lr: 0.000100, loss: 1.7768, stu_CELoss: 1.2606, DKDLoss: 0.5162, 
2022-07-22 20:11:08 - train: epoch 0095, iter [02600, 05004], lr: 0.000100, loss: 1.5205, stu_CELoss: 1.0422, DKDLoss: 0.4783, 
2022-07-22 20:11:42 - train: epoch 0095, iter [02700, 05004], lr: 0.000100, loss: 1.7337, stu_CELoss: 1.2501, DKDLoss: 0.4835, 
2022-07-22 20:12:14 - train: epoch 0095, iter [02800, 05004], lr: 0.000100, loss: 1.5658, stu_CELoss: 1.0641, DKDLoss: 0.5017, 
2022-07-22 20:12:47 - train: epoch 0095, iter [02900, 05004], lr: 0.000100, loss: 1.6978, stu_CELoss: 1.1850, DKDLoss: 0.5128, 
2022-07-22 20:13:20 - train: epoch 0095, iter [03000, 05004], lr: 0.000100, loss: 1.9282, stu_CELoss: 1.4145, DKDLoss: 0.5137, 
2022-07-22 20:13:53 - train: epoch 0095, iter [03100, 05004], lr: 0.000100, loss: 1.6105, stu_CELoss: 1.0765, DKDLoss: 0.5340, 
2022-07-22 20:14:25 - train: epoch 0095, iter [03200, 05004], lr: 0.000100, loss: 1.5390, stu_CELoss: 1.0207, DKDLoss: 0.5182, 
2022-07-22 20:14:58 - train: epoch 0095, iter [03300, 05004], lr: 0.000100, loss: 1.7136, stu_CELoss: 1.2256, DKDLoss: 0.4880, 
2022-07-22 20:15:30 - train: epoch 0095, iter [03400, 05004], lr: 0.000100, loss: 1.5660, stu_CELoss: 1.0380, DKDLoss: 0.5280, 
2022-07-22 20:16:04 - train: epoch 0095, iter [03500, 05004], lr: 0.000100, loss: 1.6968, stu_CELoss: 1.1986, DKDLoss: 0.4983, 
2022-07-22 20:16:38 - train: epoch 0095, iter [03600, 05004], lr: 0.000100, loss: 1.6267, stu_CELoss: 1.0798, DKDLoss: 0.5469, 
2022-07-22 20:17:09 - train: epoch 0095, iter [03700, 05004], lr: 0.000100, loss: 1.6852, stu_CELoss: 1.1886, DKDLoss: 0.4966, 
2022-07-22 20:17:42 - train: epoch 0095, iter [03800, 05004], lr: 0.000100, loss: 1.4149, stu_CELoss: 0.9227, DKDLoss: 0.4922, 
2022-07-22 20:18:15 - train: epoch 0095, iter [03900, 05004], lr: 0.000100, loss: 1.8068, stu_CELoss: 1.2646, DKDLoss: 0.5422, 
2022-07-22 20:18:47 - train: epoch 0095, iter [04000, 05004], lr: 0.000100, loss: 1.6340, stu_CELoss: 1.0958, DKDLoss: 0.5382, 
2022-07-22 20:19:20 - train: epoch 0095, iter [04100, 05004], lr: 0.000100, loss: 1.6948, stu_CELoss: 1.2101, DKDLoss: 0.4847, 
2022-07-22 20:19:53 - train: epoch 0095, iter [04200, 05004], lr: 0.000100, loss: 1.7823, stu_CELoss: 1.2623, DKDLoss: 0.5199, 
2022-07-22 20:20:26 - train: epoch 0095, iter [04300, 05004], lr: 0.000100, loss: 1.6089, stu_CELoss: 1.0972, DKDLoss: 0.5117, 
2022-07-22 20:20:59 - train: epoch 0095, iter [04400, 05004], lr: 0.000100, loss: 1.6783, stu_CELoss: 1.1721, DKDLoss: 0.5062, 
2022-07-22 20:21:32 - train: epoch 0095, iter [04500, 05004], lr: 0.000100, loss: 1.4620, stu_CELoss: 0.9708, DKDLoss: 0.4912, 
2022-07-22 20:22:03 - train: epoch 0095, iter [04600, 05004], lr: 0.000100, loss: 1.7814, stu_CELoss: 1.2759, DKDLoss: 0.5054, 
2022-07-22 20:22:37 - train: epoch 0095, iter [04700, 05004], lr: 0.000100, loss: 1.7103, stu_CELoss: 1.1801, DKDLoss: 0.5302, 
2022-07-22 20:23:10 - train: epoch 0095, iter [04800, 05004], lr: 0.000100, loss: 1.6657, stu_CELoss: 1.2032, DKDLoss: 0.4624, 
2022-07-22 20:23:43 - train: epoch 0095, iter [04900, 05004], lr: 0.000100, loss: 1.6414, stu_CELoss: 1.0876, DKDLoss: 0.5538, 
2022-07-22 20:24:14 - train: epoch 0095, iter [05000, 05004], lr: 0.000100, loss: 1.5519, stu_CELoss: 1.0327, DKDLoss: 0.5191, 
2022-07-22 20:24:15 - train: epoch 095, train_loss: 1.7076
2022-07-22 20:26:42 - eval: epoch: 095, tea_acc1: 73.728%, tea_acc5: 91.518%, tea_test_loss: 1.0637, stu_acc1: 72.156%, stu_acc5: 90.510%, stu_test_loss: 1.1269
2022-07-22 20:26:43 - until epoch: 095, tea_best_acc1: 73.728%, stu_best_acc1: 72.156%
2022-07-22 20:26:43 - epoch 096 lr: 0.000100
2022-07-22 20:27:21 - train: epoch 0096, iter [00100, 05004], lr: 0.000100, loss: 1.6262, stu_CELoss: 1.1220, DKDLoss: 0.5042, 
2022-07-22 20:27:54 - train: epoch 0096, iter [00200, 05004], lr: 0.000100, loss: 1.5698, stu_CELoss: 1.0876, DKDLoss: 0.4822, 
2022-07-22 20:28:26 - train: epoch 0096, iter [00300, 05004], lr: 0.000100, loss: 1.6079, stu_CELoss: 1.1022, DKDLoss: 0.5057, 
2022-07-22 20:28:58 - train: epoch 0096, iter [00400, 05004], lr: 0.000100, loss: 1.4834, stu_CELoss: 1.0077, DKDLoss: 0.4757, 
2022-07-22 20:29:31 - train: epoch 0096, iter [00500, 05004], lr: 0.000100, loss: 1.6855, stu_CELoss: 1.1910, DKDLoss: 0.4945, 
2022-07-22 20:30:03 - train: epoch 0096, iter [00600, 05004], lr: 0.000100, loss: 1.8047, stu_CELoss: 1.2680, DKDLoss: 0.5368, 
2022-07-22 20:30:35 - train: epoch 0096, iter [00700, 05004], lr: 0.000100, loss: 1.6838, stu_CELoss: 1.1560, DKDLoss: 0.5278, 
2022-07-22 20:31:09 - train: epoch 0096, iter [00800, 05004], lr: 0.000100, loss: 1.5843, stu_CELoss: 1.1051, DKDLoss: 0.4792, 
2022-07-22 20:31:42 - train: epoch 0096, iter [00900, 05004], lr: 0.000100, loss: 1.7567, stu_CELoss: 1.2250, DKDLoss: 0.5317, 
2022-07-22 20:32:14 - train: epoch 0096, iter [01000, 05004], lr: 0.000100, loss: 1.7294, stu_CELoss: 1.2044, DKDLoss: 0.5250, 
2022-07-22 20:32:46 - train: epoch 0096, iter [01100, 05004], lr: 0.000100, loss: 1.7247, stu_CELoss: 1.1465, DKDLoss: 0.5782, 
2022-07-22 20:33:20 - train: epoch 0096, iter [01200, 05004], lr: 0.000100, loss: 1.5073, stu_CELoss: 1.0205, DKDLoss: 0.4867, 
2022-07-22 20:33:53 - train: epoch 0096, iter [01300, 05004], lr: 0.000100, loss: 1.5261, stu_CELoss: 1.0472, DKDLoss: 0.4789, 
2022-07-22 20:34:25 - train: epoch 0096, iter [01400, 05004], lr: 0.000100, loss: 1.6741, stu_CELoss: 1.1373, DKDLoss: 0.5369, 
2022-07-22 20:34:58 - train: epoch 0096, iter [01500, 05004], lr: 0.000100, loss: 1.6476, stu_CELoss: 1.0977, DKDLoss: 0.5499, 
2022-07-22 20:35:30 - train: epoch 0096, iter [01600, 05004], lr: 0.000100, loss: 1.4055, stu_CELoss: 0.9023, DKDLoss: 0.5032, 
2022-07-22 20:36:03 - train: epoch 0096, iter [01700, 05004], lr: 0.000100, loss: 1.5968, stu_CELoss: 1.1174, DKDLoss: 0.4795, 
2022-07-22 20:36:35 - train: epoch 0096, iter [01800, 05004], lr: 0.000100, loss: 1.9321, stu_CELoss: 1.3958, DKDLoss: 0.5364, 
2022-07-22 20:37:08 - train: epoch 0096, iter [01900, 05004], lr: 0.000100, loss: 1.7239, stu_CELoss: 1.2499, DKDLoss: 0.4740, 
2022-07-22 20:37:40 - train: epoch 0096, iter [02000, 05004], lr: 0.000100, loss: 1.7419, stu_CELoss: 1.1879, DKDLoss: 0.5540, 
2022-07-22 20:38:13 - train: epoch 0096, iter [02100, 05004], lr: 0.000100, loss: 1.8813, stu_CELoss: 1.3980, DKDLoss: 0.4832, 
2022-07-22 20:38:46 - train: epoch 0096, iter [02200, 05004], lr: 0.000100, loss: 1.4174, stu_CELoss: 0.9021, DKDLoss: 0.5153, 
2022-07-22 20:39:19 - train: epoch 0096, iter [02300, 05004], lr: 0.000100, loss: 1.7772, stu_CELoss: 1.2731, DKDLoss: 0.5040, 
2022-07-22 20:39:51 - train: epoch 0096, iter [02400, 05004], lr: 0.000100, loss: 1.6934, stu_CELoss: 1.1685, DKDLoss: 0.5249, 
2022-07-22 20:40:24 - train: epoch 0096, iter [02500, 05004], lr: 0.000100, loss: 1.6723, stu_CELoss: 1.1656, DKDLoss: 0.5066, 
2022-07-22 20:40:57 - train: epoch 0096, iter [02600, 05004], lr: 0.000100, loss: 1.5474, stu_CELoss: 1.0624, DKDLoss: 0.4850, 
2022-07-22 20:41:29 - train: epoch 0096, iter [02700, 05004], lr: 0.000100, loss: 1.7557, stu_CELoss: 1.2373, DKDLoss: 0.5185, 
2022-07-22 20:42:02 - train: epoch 0096, iter [02800, 05004], lr: 0.000100, loss: 1.5021, stu_CELoss: 0.9710, DKDLoss: 0.5312, 
2022-07-22 20:42:34 - train: epoch 0096, iter [02900, 05004], lr: 0.000100, loss: 1.6703, stu_CELoss: 1.1134, DKDLoss: 0.5569, 
2022-07-22 20:43:06 - train: epoch 0096, iter [03000, 05004], lr: 0.000100, loss: 1.7506, stu_CELoss: 1.2284, DKDLoss: 0.5222, 
2022-07-22 20:43:39 - train: epoch 0096, iter [03100, 05004], lr: 0.000100, loss: 1.7837, stu_CELoss: 1.2912, DKDLoss: 0.4925, 
2022-07-22 20:44:12 - train: epoch 0096, iter [03200, 05004], lr: 0.000100, loss: 1.7643, stu_CELoss: 1.2516, DKDLoss: 0.5127, 
2022-07-22 20:44:45 - train: epoch 0096, iter [03300, 05004], lr: 0.000100, loss: 1.8289, stu_CELoss: 1.2748, DKDLoss: 0.5540, 
2022-07-22 20:45:17 - train: epoch 0096, iter [03400, 05004], lr: 0.000100, loss: 1.6884, stu_CELoss: 1.1371, DKDLoss: 0.5513, 
2022-07-22 20:45:49 - train: epoch 0096, iter [03500, 05004], lr: 0.000100, loss: 1.6534, stu_CELoss: 1.1514, DKDLoss: 0.5020, 
2022-07-22 20:46:23 - train: epoch 0096, iter [03600, 05004], lr: 0.000100, loss: 1.4033, stu_CELoss: 0.9160, DKDLoss: 0.4873, 
2022-07-22 20:46:55 - train: epoch 0096, iter [03700, 05004], lr: 0.000100, loss: 1.8052, stu_CELoss: 1.2536, DKDLoss: 0.5516, 
2022-07-22 20:47:28 - train: epoch 0096, iter [03800, 05004], lr: 0.000100, loss: 1.5236, stu_CELoss: 1.0419, DKDLoss: 0.4818, 
2022-07-22 20:48:00 - train: epoch 0096, iter [03900, 05004], lr: 0.000100, loss: 1.7425, stu_CELoss: 1.2469, DKDLoss: 0.4955, 
2022-07-22 20:48:33 - train: epoch 0096, iter [04000, 05004], lr: 0.000100, loss: 1.6655, stu_CELoss: 1.1509, DKDLoss: 0.5146, 
2022-07-22 20:49:06 - train: epoch 0096, iter [04100, 05004], lr: 0.000100, loss: 1.7113, stu_CELoss: 1.1678, DKDLoss: 0.5435, 
2022-07-22 20:49:38 - train: epoch 0096, iter [04200, 05004], lr: 0.000100, loss: 1.5577, stu_CELoss: 1.0587, DKDLoss: 0.4990, 
2022-07-22 20:50:11 - train: epoch 0096, iter [04300, 05004], lr: 0.000100, loss: 1.4380, stu_CELoss: 0.9260, DKDLoss: 0.5121, 
2022-07-22 20:50:43 - train: epoch 0096, iter [04400, 05004], lr: 0.000100, loss: 1.6098, stu_CELoss: 1.1380, DKDLoss: 0.4718, 
2022-07-22 20:51:17 - train: epoch 0096, iter [04500, 05004], lr: 0.000100, loss: 1.8496, stu_CELoss: 1.3007, DKDLoss: 0.5490, 
2022-07-22 20:51:48 - train: epoch 0096, iter [04600, 05004], lr: 0.000100, loss: 1.5728, stu_CELoss: 1.0854, DKDLoss: 0.4874, 
2022-07-22 20:52:21 - train: epoch 0096, iter [04700, 05004], lr: 0.000100, loss: 1.7010, stu_CELoss: 1.1808, DKDLoss: 0.5202, 
2022-07-22 20:52:54 - train: epoch 0096, iter [04800, 05004], lr: 0.000100, loss: 1.6967, stu_CELoss: 1.2208, DKDLoss: 0.4759, 
2022-07-22 20:53:27 - train: epoch 0096, iter [04900, 05004], lr: 0.000100, loss: 1.8480, stu_CELoss: 1.2666, DKDLoss: 0.5814, 
2022-07-22 20:53:58 - train: epoch 0096, iter [05000, 05004], lr: 0.000100, loss: 1.7027, stu_CELoss: 1.2188, DKDLoss: 0.4839, 
2022-07-22 20:53:59 - train: epoch 096, train_loss: 1.7038
2022-07-22 20:56:26 - eval: epoch: 096, tea_acc1: 73.728%, tea_acc5: 91.518%, tea_test_loss: 1.0637, stu_acc1: 72.156%, stu_acc5: 90.592%, stu_test_loss: 1.1251
2022-07-22 20:56:26 - until epoch: 096, tea_best_acc1: 73.728%, stu_best_acc1: 72.156%
2022-07-22 20:56:26 - epoch 097 lr: 0.000100
2022-07-22 20:57:04 - train: epoch 0097, iter [00100, 05004], lr: 0.000100, loss: 1.6489, stu_CELoss: 1.1128, DKDLoss: 0.5361, 
2022-07-22 20:57:37 - train: epoch 0097, iter [00200, 05004], lr: 0.000100, loss: 1.6352, stu_CELoss: 1.1544, DKDLoss: 0.4808, 
2022-07-22 20:58:09 - train: epoch 0097, iter [00300, 05004], lr: 0.000100, loss: 1.6392, stu_CELoss: 1.1512, DKDLoss: 0.4880, 
2022-07-22 20:58:42 - train: epoch 0097, iter [00400, 05004], lr: 0.000100, loss: 1.7622, stu_CELoss: 1.2536, DKDLoss: 0.5086, 
2022-07-22 20:59:14 - train: epoch 0097, iter [00500, 05004], lr: 0.000100, loss: 1.7606, stu_CELoss: 1.1692, DKDLoss: 0.5914, 
2022-07-22 20:59:48 - train: epoch 0097, iter [00600, 05004], lr: 0.000100, loss: 1.6273, stu_CELoss: 1.1665, DKDLoss: 0.4608, 
2022-07-22 21:00:19 - train: epoch 0097, iter [00700, 05004], lr: 0.000100, loss: 1.7163, stu_CELoss: 1.2191, DKDLoss: 0.4972, 
2022-07-22 21:00:52 - train: epoch 0097, iter [00800, 05004], lr: 0.000100, loss: 1.4147, stu_CELoss: 0.9522, DKDLoss: 0.4624, 
2022-07-22 21:01:24 - train: epoch 0097, iter [00900, 05004], lr: 0.000100, loss: 1.6328, stu_CELoss: 1.1444, DKDLoss: 0.4884, 
2022-07-22 21:01:58 - train: epoch 0097, iter [01000, 05004], lr: 0.000100, loss: 1.7619, stu_CELoss: 1.2643, DKDLoss: 0.4976, 
2022-07-22 21:02:30 - train: epoch 0097, iter [01100, 05004], lr: 0.000100, loss: 1.3109, stu_CELoss: 0.8470, DKDLoss: 0.4640, 
2022-07-22 21:03:02 - train: epoch 0097, iter [01200, 05004], lr: 0.000100, loss: 1.8482, stu_CELoss: 1.2974, DKDLoss: 0.5507, 
2022-07-22 21:03:35 - train: epoch 0097, iter [01300, 05004], lr: 0.000100, loss: 1.8557, stu_CELoss: 1.2995, DKDLoss: 0.5561, 
2022-07-22 21:04:09 - train: epoch 0097, iter [01400, 05004], lr: 0.000100, loss: 1.8171, stu_CELoss: 1.2553, DKDLoss: 0.5619, 
2022-07-22 21:04:40 - train: epoch 0097, iter [01500, 05004], lr: 0.000100, loss: 1.7131, stu_CELoss: 1.0683, DKDLoss: 0.6447, 
2022-07-22 21:05:13 - train: epoch 0097, iter [01600, 05004], lr: 0.000100, loss: 1.6871, stu_CELoss: 1.1975, DKDLoss: 0.4896, 
2022-07-22 21:05:45 - train: epoch 0097, iter [01700, 05004], lr: 0.000100, loss: 1.7005, stu_CELoss: 1.1427, DKDLoss: 0.5578, 
2022-07-22 21:06:18 - train: epoch 0097, iter [01800, 05004], lr: 0.000100, loss: 1.9437, stu_CELoss: 1.4271, DKDLoss: 0.5167, 
2022-07-22 21:06:50 - train: epoch 0097, iter [01900, 05004], lr: 0.000100, loss: 1.6746, stu_CELoss: 1.1745, DKDLoss: 0.5002, 
2022-07-22 21:07:23 - train: epoch 0097, iter [02000, 05004], lr: 0.000100, loss: 1.6854, stu_CELoss: 1.1336, DKDLoss: 0.5518, 
2022-07-22 21:07:55 - train: epoch 0097, iter [02100, 05004], lr: 0.000100, loss: 1.5865, stu_CELoss: 1.0551, DKDLoss: 0.5314, 
2022-07-22 21:08:27 - train: epoch 0097, iter [02200, 05004], lr: 0.000100, loss: 1.6903, stu_CELoss: 1.1340, DKDLoss: 0.5563, 
2022-07-22 21:09:00 - train: epoch 0097, iter [02300, 05004], lr: 0.000100, loss: 1.6181, stu_CELoss: 1.1093, DKDLoss: 0.5088, 
2022-07-22 21:09:33 - train: epoch 0097, iter [02400, 05004], lr: 0.000100, loss: 1.6962, stu_CELoss: 1.1678, DKDLoss: 0.5284, 
2022-07-22 21:10:05 - train: epoch 0097, iter [02500, 05004], lr: 0.000100, loss: 1.5665, stu_CELoss: 1.0361, DKDLoss: 0.5305, 
2022-07-22 21:10:37 - train: epoch 0097, iter [02600, 05004], lr: 0.000100, loss: 1.6806, stu_CELoss: 1.1541, DKDLoss: 0.5265, 
2022-07-22 21:11:10 - train: epoch 0097, iter [02700, 05004], lr: 0.000100, loss: 1.6058, stu_CELoss: 1.1390, DKDLoss: 0.4668, 
2022-07-22 21:11:42 - train: epoch 0097, iter [02800, 05004], lr: 0.000100, loss: 1.6309, stu_CELoss: 1.1210, DKDLoss: 0.5099, 
2022-07-22 21:12:15 - train: epoch 0097, iter [02900, 05004], lr: 0.000100, loss: 1.8033, stu_CELoss: 1.3037, DKDLoss: 0.4996, 
2022-07-22 21:12:48 - train: epoch 0097, iter [03000, 05004], lr: 0.000100, loss: 1.7048, stu_CELoss: 1.2007, DKDLoss: 0.5041, 
2022-07-22 21:13:20 - train: epoch 0097, iter [03100, 05004], lr: 0.000100, loss: 1.7418, stu_CELoss: 1.2279, DKDLoss: 0.5139, 
2022-07-22 21:13:53 - train: epoch 0097, iter [03200, 05004], lr: 0.000100, loss: 1.8573, stu_CELoss: 1.2897, DKDLoss: 0.5676, 
2022-07-22 21:14:25 - train: epoch 0097, iter [03300, 05004], lr: 0.000100, loss: 1.7692, stu_CELoss: 1.2597, DKDLoss: 0.5095, 
2022-07-22 21:14:58 - train: epoch 0097, iter [03400, 05004], lr: 0.000100, loss: 1.8627, stu_CELoss: 1.2930, DKDLoss: 0.5697, 
2022-07-22 21:15:30 - train: epoch 0097, iter [03500, 05004], lr: 0.000100, loss: 1.4755, stu_CELoss: 0.9934, DKDLoss: 0.4821, 
2022-07-22 21:16:04 - train: epoch 0097, iter [03600, 05004], lr: 0.000100, loss: 1.7395, stu_CELoss: 1.1815, DKDLoss: 0.5580, 
2022-07-22 21:16:36 - train: epoch 0097, iter [03700, 05004], lr: 0.000100, loss: 1.4458, stu_CELoss: 0.9371, DKDLoss: 0.5087, 
2022-07-22 21:17:09 - train: epoch 0097, iter [03800, 05004], lr: 0.000100, loss: 1.6652, stu_CELoss: 1.1512, DKDLoss: 0.5140, 
2022-07-22 21:17:40 - train: epoch 0097, iter [03900, 05004], lr: 0.000100, loss: 1.6258, stu_CELoss: 1.0814, DKDLoss: 0.5444, 
2022-07-22 21:18:13 - train: epoch 0097, iter [04000, 05004], lr: 0.000100, loss: 1.7875, stu_CELoss: 1.2774, DKDLoss: 0.5102, 
2022-07-22 21:18:45 - train: epoch 0097, iter [04100, 05004], lr: 0.000100, loss: 1.7440, stu_CELoss: 1.1949, DKDLoss: 0.5491, 
2022-07-22 21:19:18 - train: epoch 0097, iter [04200, 05004], lr: 0.000100, loss: 1.6629, stu_CELoss: 1.1891, DKDLoss: 0.4738, 
2022-07-22 21:19:50 - train: epoch 0097, iter [04300, 05004], lr: 0.000100, loss: 1.7158, stu_CELoss: 1.1720, DKDLoss: 0.5438, 
2022-07-22 21:20:23 - train: epoch 0097, iter [04400, 05004], lr: 0.000100, loss: 1.6832, stu_CELoss: 1.2042, DKDLoss: 0.4790, 
2022-07-22 21:20:55 - train: epoch 0097, iter [04500, 05004], lr: 0.000100, loss: 1.7069, stu_CELoss: 1.1890, DKDLoss: 0.5179, 
2022-07-22 21:21:29 - train: epoch 0097, iter [04600, 05004], lr: 0.000100, loss: 1.6420, stu_CELoss: 1.1283, DKDLoss: 0.5137, 
2022-07-22 21:22:01 - train: epoch 0097, iter [04700, 05004], lr: 0.000100, loss: 1.5927, stu_CELoss: 1.0901, DKDLoss: 0.5026, 
2022-07-22 21:22:34 - train: epoch 0097, iter [04800, 05004], lr: 0.000100, loss: 1.6316, stu_CELoss: 1.1061, DKDLoss: 0.5255, 
2022-07-22 21:23:08 - train: epoch 0097, iter [04900, 05004], lr: 0.000100, loss: 1.7002, stu_CELoss: 1.2832, DKDLoss: 0.4170, 
2022-07-22 21:23:38 - train: epoch 0097, iter [05000, 05004], lr: 0.000100, loss: 1.4494, stu_CELoss: 0.9894, DKDLoss: 0.4600, 
2022-07-22 21:23:39 - train: epoch 097, train_loss: 1.7017
2022-07-22 21:26:06 - eval: epoch: 097, tea_acc1: 73.728%, tea_acc5: 91.518%, tea_test_loss: 1.0637, stu_acc1: 72.146%, stu_acc5: 90.506%, stu_test_loss: 1.1263
2022-07-22 21:26:06 - until epoch: 097, tea_best_acc1: 73.728%, stu_best_acc1: 72.156%
2022-07-22 21:26:06 - epoch 098 lr: 0.000100
2022-07-22 21:26:44 - train: epoch 0098, iter [00100, 05004], lr: 0.000100, loss: 1.7709, stu_CELoss: 1.2389, DKDLoss: 0.5319, 
2022-07-22 21:27:17 - train: epoch 0098, iter [00200, 05004], lr: 0.000100, loss: 1.8650, stu_CELoss: 1.3015, DKDLoss: 0.5634, 
2022-07-22 21:27:50 - train: epoch 0098, iter [00300, 05004], lr: 0.000100, loss: 1.7584, stu_CELoss: 1.2066, DKDLoss: 0.5518, 
2022-07-22 21:28:22 - train: epoch 0098, iter [00400, 05004], lr: 0.000100, loss: 1.6693, stu_CELoss: 1.1501, DKDLoss: 0.5193, 
2022-07-22 21:28:56 - train: epoch 0098, iter [00500, 05004], lr: 0.000100, loss: 1.8347, stu_CELoss: 1.3222, DKDLoss: 0.5125, 
2022-07-22 21:29:27 - train: epoch 0098, iter [00600, 05004], lr: 0.000100, loss: 1.6843, stu_CELoss: 1.1680, DKDLoss: 0.5163, 
2022-07-22 21:29:59 - train: epoch 0098, iter [00700, 05004], lr: 0.000100, loss: 1.8605, stu_CELoss: 1.2990, DKDLoss: 0.5615, 
2022-07-22 21:30:32 - train: epoch 0098, iter [00800, 05004], lr: 0.000100, loss: 1.6201, stu_CELoss: 1.1348, DKDLoss: 0.4853, 
2022-07-22 21:31:04 - train: epoch 0098, iter [00900, 05004], lr: 0.000100, loss: 1.5740, stu_CELoss: 1.1011, DKDLoss: 0.4729, 
2022-07-22 21:31:37 - train: epoch 0098, iter [01000, 05004], lr: 0.000100, loss: 1.6306, stu_CELoss: 1.1359, DKDLoss: 0.4947, 
2022-07-22 21:32:09 - train: epoch 0098, iter [01100, 05004], lr: 0.000100, loss: 1.7988, stu_CELoss: 1.2822, DKDLoss: 0.5166, 
